comando	label_ribbon	form_dialogo	hint	descrizione
~CdSetSingleInput	Single for Set Input		The set only accepts single input	
~CdSfUnpickAll	Unpick All		Unpick All	
~CdShapeAt	Shape Attributes		Set Shape attributes	
~CdSheetOpenRefPart	Open Part...		Open the associated part	
~CdShowEqnMgr	Equation Manager		Show variables and equations information.	
~CdShowFrozenBar	Show Frozen Bar		Show Frozen Bar	
~CdShowLayerMgr	Layer Manager		Open layer manager	
~CdShowLyrInfo	Show Layer Information		Show layer information	
~CdShowPartFamily	Part Family		Show part family	
~CdShowVisibilityMgr	Visibility Manager		Open Visibility Manager	
~CdShowWdSegBom	Structural BOM		Structural BOM	Structural BOM.
~CdShtMgrOpenPart	Open Part...		Open the corresponded part file.	
~CdStatSurfClr	Face Color		Face color	
~CdStatWireClr	Line Color		Line color	
~CdStyDel	Delete		Delete the style from the current document	
~CdStyDelLocal	Delete from Local		Delete the style from local directory	
~CdStyDftAct	Activate			
~CdStyExport	Export		Export the current selected standard/style to a style file.	
~CdStyNew	New		Create a new style	
~CdStyRename	Rename			
~CdStyReplace	Replace		Replace the style with the default settings.	
~CdStySaveToDoc	Save to Document		Save the style from local to the current document	
~CdStySaveToLocal	Save to Local		Save the style to local	
~CdStySetIntoActStd	Set into Current Standard		Set the style into the current active standard.	
~CdStyUpdate	Update from Local		Update the style from local settings	
~CdStyleAnnoShow	Annotation...		Set annotation styles	
~CdStyleDimShow	Dimension...		Set dimension styles	
~CdStyleHatShow	Hatch...		Set hatch styles	
~CdStyleLineShow	Line...		Set line styles	
~CdStyleLoadFromBundle	Load Style From Bundle		Load Style From Bundle	
~CdStylePointShow	Point...		Set point styles	
~CdStyleSymbsShow	Symbols...		Set symbols styles	
~CdStyleTblShow	Table...		Set table styles	
~CdStyleTextShow	Text...		Set text styles	
~CdStyleViewShow	View...		Set view styles	
~CdTblAllUnhide	Unhide All			
~CdTblAutoAdjustColWid	Adjust Column Width Automatically			
~CdTblAutoAdjustRowHgt	Adjust Row Height Automatically			
~CdTblAutoMergCells	Auto Merge Cells			
~CdTblAutoSplitOff	Stop Auto Split			
~CdTblBlkCellLine(0)	Blank Cell Top Line			
~CdTblBlkCellLine(1)	Blank Cell Bottom Line			
~CdTblBlkCellLine(2)	Blank Cell Left Line			
~CdTblBlkCellLine(3)	Blank Cell Right Line			
~CdTblBreakLink	Break Link			
~CdTblCellAtMod	Cell Attributes			
~CdTblCellLock	Lock Cells		Lock the cells	
~CdTblCellOpenPart	Open Part...		Open the corresponded part file.	
~CdTblCellTextEdit	Edit Text			
~CdTblCellUnLock	Unlock Cells		Unlock the cells	
~CdTblColWidSet	Column Width			
~CdTblColumnHide	Hide Column			
~CdTblColumnsUnhide	Unhide Columns			
~CdTblDeleteCellText	Data		Delete the data in the selected cells	
~CdTblDeleteColumns	Column			
~CdTblDeleteRows	Row		Delete the row	
~CdTblDeleteTable	Table		Delete the table	
~CdTblHideHeadRow	Hide Table Head Row			
~CdTblInsertColLeft	Column Left			
~CdTblInsertColRight	Column Right			
~CdTblInsertHeaderRow	Header Row		Insert a new header row at the top of the table.	
~CdTblInsertRowAbove	Row Above			
~CdTblInsertRowBelow	Row Below			
~CdTblLinkToExcel	Link to Excel			
~CdTblLockColWid	Lock Column Width			
~CdTblLockRowHgt	Lock Row Height			
~CdTblLockTolHgt	Lock Table Height			
~CdTblLockTolWid	Lock Table Width			
~CdTblMergeAllTbls	Merge All			
~CdTblMergeCells	Merge Cells			
~CdTblMergeTables	Merge with Next			
~CdTblOpenLinkFile	Open the Linked Excel			
~CdTblOptPop(1)	Sort by		Sort by column	
~CdTblOptPop(2)	Note Contents		Note contents column	
~CdTblRestoreValue	Restore Original Value			
~CdTblRowColHide	Hide Row			
~CdTblRowExclude	Exclude from table		Exclude the corresponding component from this BOM table.	
~CdTblRowHgtSet	Row Height			
~CdTblRowsUnhide	Unhide Rows			
~CdTblSaveToLink	Save Changes to Linked Excel			
~CdTblSelectColumn	Column		Select a column	
~CdTblSelectEntireTbl	Table		Select the entire table	
~CdTblSelectRow	Row		Select a row	
~CdTblSortAscend	Ascending			
~CdTblSortDescend	Descending			
~CdTblSplitAbove	From Above			
~CdTblSplitBelow	From Below			
~CdTblSplitCell	Split Cell			
~CdTblTolHgtSet	Table Height			
~CdTblTolWidSet	Table Width			
~CdTblUnMergeCells	Unmerge Cells			
~CdTblUpdFromLink	Update from Linked Excel			
~CdTextRegen2	Regen Text		Regen all text entities	
~CdTreeCollapse	Collapse Subitems		Collapse subitems	
~CdTreeExpand	Expand Subitems		Expand subitems	
~CdUDFInsShow	Insert UDF		Insert User Defined Feature.	
~CdUDFReplaceShow	UDF Replace			
~CdUDFWizardShow	UDF Wizard		Show User Defined Feature Wizard.	
~CdUnSelectLyr	Invert Selection		Invert selection	
~CdUnblankCmd	Unblank		Unblank entities	
~CdUnsetRootMaterial	Delete Material		Delete material	Clear material information for selected object.
~CdUpdAllCompPath	Update Component Path		Update all components&apos; path	
~CdUpdAllPrtCfg	Regen All		Regen All Part Config	
~CdV3FtrUpBeads	Regen Beads		Regen the weld beads from part	
~CdV3FtrUpBendNote	Regen Bend Note		Regen the sheet metal bend note on this feature	
~CdV3FtrUpCenLn	Regen Center Line		Regen the center line on this feature	
~CdV3FtrUpCenMk	Regen Center Mark		Regen the center mark on this feature	
~CdV3FtrUpDim	Regen Dimension		Regen the dimension on this feature	
~CdV3FtrUpPMI	Regen PMI		Regen the inherited PMI	
~CdV3FtrUpText	Regen Text		Regen the text from part	
~CdV3HatPop	Do hatch		hatch the component	
~CdV3HideFoldPop	Hide All		Hide all	
~CdV3HidePop	Suppress Component		Suppress Component	
~CdV3HidePop2	Hide		Hide the component	
~CdV3InqPop	Inquire		Inquire	
~CdV3SectPop	Do section		Section the component	
~CdV3UnHatPop	Don&apos;t hatch		Don&apos;t hatch the component	
~CdV3UnHideFoldPop	Show All		Show all	
~CdV3UnHidePop	Unsuppress Component		Unsuppress Component	
~CdV3UnHidePop2	Show		Show the component	
~CdV3UnSectPop	Don&apos;t section		Don&apos;t section the component	
~CdVDtmAxisDisp	Toggle Datum Axis Display		Toggle the display state of datum axis	
~CdVDtmCSYSDisp	Toggle Datum CSYS Display		Toggle the display state of datum CSYS	
~CdVDtmPlaneDisp	Toggle Datum Plane Display		Toggle the display state of datum plane	
~CdVFaceAtDelAll	Erase All Appearance	CdVFaceAtDel	Erase appearance for all face	Remove an appearance previously assigned to a face
~CdVarTreeCSCb(0)	Name		Toggle name column on/off	
~CdVarTreeCSCb(1)	Expression		Toggle expression column on/off	
~CdVarTreeCSCb(2)	Value		Toggle value column on/off	
~CdVarTreeCSCb(3)	Min		Toggle min column on/off	
~CdVarTreeCSCb(4)	Max		Toggle max column on/off	
~CdVarTreeCSCb(5)	Unit		Toggle unit column on/off	
~CdVarTreeCSCb(6)	Type		Toggle type column on/off	
~CdVarTreeCSCb(7)	Description		Toggle description column on/off	
~CdVarTreeCSCb(8)	State		Toggle state column on/off	
~CdViewCameraNew	New Camera	CdViewCamera	New camera view	
~CdViewDelCameras	Delete All Cameras		Delete all cameras	
~CdViewDelSects	Delete all section views		Delete all section views	
~CdViewListAct	Activate		Activate	
~CdViewListActPMI	Specify PMI Plane		Specify a view to PMI	
~CdViewListActShowOnly	Activate show only		Activate default show only view	
~CdViewListAnimTl	Apply to Timeline		Apply view to timeline	
~CdViewListBlank	Blank		Blank	
~CdViewListBlankAll	Blank All		Blank all	
~CdViewListCopy	Copy		Copy view	
~CdViewListDel	Delete		Delete	
~CdViewListEdit	Redefine view		Redefine view	
~CdViewListGroupPMI	Group PMI		Group PMI in view manager	
~CdViewListInq	Inquire		Inquire	
~CdViewListName	Rename		Rename	
~CdViewListOrient	Orient		Orient	
~CdViewListPaste	Paste		Paste view	
~CdViewListRec	Record		Record view	
~CdViewListUnGroupPMI	UnGroup PMI		UnGroup PMI in view manager	
~CdViewListUnblank	Unblank		Unblank	
~CdViewListUnblankAll	Unblank All		Unblank all	
~CdViewNew			New view	
~CdViewPlnHotKey	Auto Align		Auto align the view	
~CdViewRightward	Y Axis Rightward		Toggle Y axis rightward view	
~CdViewUpward	Y Axis Upward		Toggle Y axis upward view	
~CdViewVisSwitch	Visible		Switch the visibility of the view.	
~CdWiEntBrPart	Browse Components		Browse Components	
~CdWiEntBrPrf	Browse Sketches		Browse Sketches	
~CdWiEntBrowse	Browse		Browse	
~CdmFileRecoverDel	Delete			
~CdmFileRecoverOpen	Open			
~CdmFileRecoverSaveAs	Save As			
~CldFileTargetDelRow	Delete		Delete	
~CldFileTargetDelUncheck	Remove Unchecked		Remove unchecked items	
~CldMultiSaveDelRow	Delete		Delete	
~CldMultiSaveDelUncheck	Remove Unchecked		Remove unchecked items	
~ClrChkShowThisOnly	Show This Only		Show this only	
~CmBlankAllSk	Blank All Sketches		Blank all sketches	
~CmCmd(unhi)	Unhighlight All		Unhighlight all entities	
~CmCompFldPop(1)	Insert Component		Insert Component	
~CmCompFldPop(2)	Update Status		Update Status	
~CmCompFldPop(3)	Show/Hide		Show/Hide	
~CmCompFldPop(4)	Assign To All		Assign Part and Stock Components to all Operation Definitions.	
~CmCompFldPop(5)	Insert Component Folder		Insert Component Folder	
~CmCompFldPop(7)	Rename		Rename	
~CmCompFldPop(8)	Delete All		Delete All	
~CmCompFldPop(9)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmCopy	Copy		Copy	
~CmCreateFtr(1)	Surface		Add Surface features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Surface from the popup list of CAM features.
~CmCreateFtr(10)	Planar Face		Add Planar Face features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Planar Face from the popup list of CAM features.
~CmCreateFtr(2)	Solid		Add Solid features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Solid from the popup list of CAM features.
~CmCreateFtr(3)	Profile		Add Profile features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Profile from the popup list of CAM features.
~CmCreateFtr(4)	Pocket		Add Pocket features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Pocket from the popup list of CAM features.
~CmCreateFtr(6)	Slot		Add Slot features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Slot from the popup list of CAM features.
~CmCreateFtr(7)	Step		Add Step features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Step from the popup list of CAM features.
~CmCreateFtr(8)	Chamfer		Add CAM Chamfer features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Chamfer from the popup list of CAM features.
~CmCreateFtr(9)	Corner Round		Add Corner round features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Cround from the popup list of CAM features.
~CmCustomCLCmdPop(0)	Add Row			
~CmCustomCLCmdPop(1)	Delete Rows			
~CmCustomCLCmdPop(2)	Copy Rows			
~CmCustomCLCmdPop(3)	Paste Rows			
~CmCustomCLCmdTblPop(0)	Delete			
~CmCustomCLCmdTblPop(1)	Add			
~CmCustomCLCmdTblPop(10)	Paste Overwrite			
~CmCustomCLCmdTblPop(11)	Duplicate to All			
~CmCustomCLCmdTblPop(2)	Add before			
~CmCustomCLCmdTblPop(3)	Add after			
~CmCustomCLCmdTblPop(4)	Move up			
~CmCustomCLCmdTblPop(5)	Move down			
~CmCustomCLCmdTblPop(6)	Move to Top			
~CmCustomCLCmdTblPop(7)	Move to Bottom			
~CmCustomCLCmdTblPop(8)	Copy(Ctrl+C)			
~CmCustomCLCmdTblPop(9)	Paste after(Ctrl+V)			
~CmCustomOpListPop(0)	Add Row			
~CmCustomOpListPop(1)	Delete Rows			
~CmCut	Cut		Cut	
~CmEditSk	Activate Sketch		Activate sketch for editing	
~CmFgRegenTest	Feature Groups		Check Feature Group dependencies for changes	
~CmFolderPop(1)	Show/Hide		Show/Hide	
~CmFolderPop(10)	Lock/Unlock		Lock/Unlock	
~CmFolderPop(11)	Delete Tool Path		Delete Tool Path	
~CmFolderPop(12)	Insert Operation Folder		Insert Operation Folder	
~CmFolderPop(13)	Transform		Transform	
~CmFolderPop(14)	Create Output for All		Create Output for All	
~CmFolderPop(17)	Insert Operation		Insert Operation	
~CmFolderPop(18)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmFolderPop(19)	Create Output for Individual		Create Output for Individual	
~CmFolderPop(2)	Rename		Rename	
~CmFolderPop(20)	Inquire Tool Path		Inquire Tool path	
~CmFolderPop(21)	Analyze Toolpath		Analyze Toolpath	
~CmFolderPop(22)	Suppress/Unsuppress		Suppress/Unsuppress	
~CmFolderPop(23)	Output CL for All		Output CL for All	
~CmFolderPop(24)	Output NC for All		Output NC for All	
~CmFolderPop(25)	Output CL for Individual		Output CL for Individual	
~CmFolderPop(26)	Output NC for Individual		Output NC for Individual	
~CmFolderPop(27)	Set Frame		Set Frame to operations	
~CmFolderPop(28)	Check Shortest Tool		Check Shortest Tool	
~CmFolderPop(3)	Duplicate		Duplicate	
~CmFolderPop(4)	Export		Export	
~CmFolderPop(5)	Delete		Delete All	
~CmFolderPop(6)	Calculate		Calculate	
~CmFolderPop(7)	Batch Calculate(QM only)		Batch Calculate(QM only)	
~CmFolderPop(9)	Solid Verify		Solid Verify All Operations Of This Folder	
~CmFrameFldPop(1)	Insert Frame		Insert Frame	
~CmFrameFldPop(12)	Duplicate		Duplicate	
~CmFrameFldPop(13)	Rename		Rename	
~CmFrameFldPop(2)	Delete All		Delete All	
~CmFrameFldPop(5)	Show Datum Planes		Show Datum Planes	
~CmFrameFldPop(6)	Hide Datum Planes		Hide Datum Planes	
~CmFrameFldPop(7)	Insert Frame Folder		Insert Frame Folder	
~CmFrameFldPop(8)	Show/Hide		Show/Hide	
~CmFrameFldPop(9)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmFramePop(1)	Edit		Edit	
~CmFramePop(10)	Set/Cancel Active		Set or Cancel Active Frame which auto add to Operation.	
~CmFramePop(2)	Rename		Rename	
~CmFramePop(3)	Delete		Delete	
~CmFramePop(4)	Show/Hide		Show/Hide	
~CmFramePop(5)	Toggle Datum		Toggle Datum Planes	
~CmFramePop(8)	Duplicate		Duplicate	
~CmFramePop(9)	Assign To All		Assign Frame to all Operation Definitions.	
~CmFramesPop(1)	Frame		Insert Frame	
~CmFramesPop(11)	Show/Hide World Frame		Show/Hide World Frame	
~CmFramesPop(2)	Delete All		Delete All	
~CmFramesPop(3)	Show All/Hide All		Show All/Hide All	
~CmFramesPop(5)	Show Datum Planes		Show Datum Planes	
~CmFramesPop(6)	Hide Datum Planes		Hide Datum Planes	
~CmFramesPop(7)	Insert Frame Folder		Insert Frame Folder	
~CmFramesPop(8)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmFtrAdd	Add		Add	
~CmFtrFldOpt(1)	Surface		Add Surface features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Surface from the popup list of CAM features.
~CmFtrFldOpt(10)	Planar Face		Add Planar Face features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Planar Face from the popup list of CAM features.
~CmFtrFldOpt(11)	CylBoss		CylBoss	
~CmFtrFldOpt(12)	Nest Profile		Nest Profile	Nest Profile feature is used for the part nesting operation. Several "Nest Profile:component" will be nested on one "Nest Profile:blank".
~CmFtrFldOpt(2)	Solid		Add Solid features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Solid from the popup list of CAM features.
~CmFtrFldOpt(3)	Profile		Add Profile features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Profile from the popup list of CAM features.
~CmFtrFldOpt(4)	Pocket		Add Pocket features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Pocket from the popup list of CAM features.
~CmFtrFldOpt(5)	Hole		Add Hole features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Hole from the popup list of CAM features.
~CmFtrFldOpt(6)	Slot		Add Slot features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Slot from the popup list of CAM features.
~CmFtrFldOpt(7)	Step		Add Step features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Step from the popup list of CAM features.
~CmFtrFldOpt(8)	Chamfer		Add CAM Chamfer features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Chamfer from the popup list of CAM features.
~CmFtrFldOpt(9)	Corner Round		Add Corner round features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Cround from the popup list of CAM features.
~CmFtrFldPop(11)	Set Status OK		Set Status OK	
~CmFtrFldPop(14)	Assign To All		Assign this Feature to all appropriate Operation Definitions.	
~CmFtrFldPop(16)	Rename		Rename	
~CmFtrFldPop(17)	Insert Feature Folder		Insert Feature Folder	
~CmFtrFldPop(18)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~CmFtrFldPop(19)	Duplicate		Duplicate	
~CmFtrFldPop(3)	Delete		Delete	
~CmFtrIns	Insert Operation		Insert Operation	
~CmFtrOpt(1)	Surface		Add Surface features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Surface from the popup list of CAM features.
~CmFtrOpt(10)	Planar Face		Add Planar Face features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Planar Face from the popup list of CAM features.
~CmFtrOpt(11)	CylBoss		CylBoss	
~CmFtrOpt(12)	Nest Profile		Add Nest Profile feature	Nest Profile feature is used for the part nesting operation. Several "Nest Profile:component" will be nested on one "Nest Profile:blank".
~CmFtrOpt(13)	Flat Region		Add Flat Region feature	Flat Region feature is used for the Finish Flat operation.
~CmFtrOpt(2)	Solid		Add Solid features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Solid from the popup list of CAM features.
~CmFtrOpt(3)	Profile		Add Profile features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Profile from the popup list of CAM features.
~CmFtrOpt(4)	Pocket		Add Pocket features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Pocket from the popup list of CAM features.
~CmFtrOpt(5)	Hole		Add Hole features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Select Hole from the popup list of CAM features.
~CmFtrOpt(6)	Slot		Add Slot features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Slot from the popup list of CAM features.
~CmFtrOpt(7)	Step		Add Step features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Step from the popup list of CAM features.
~CmFtrOpt(8)	Chamfer		Add CAM Chamfer features	Right-click on a component in the CAM Plan Manager tree and select Add Feature. Then select Chamfer from the popup list of CAM features.
